Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Suspected,Recovered,Deaths,ConfnSusp
Hubei,Mainland China,1/24/2020  12am,30.97564,112.2707,549,,31,24,549
Guangdong,Mainland China,1/24/2020  12am,23.33841,113.422,53,,2,,53
Zhejiang,Mainland China,1/24/2020  12am,29.18251,120.0985,43,,1,,43
Beijing,Mainland China,1/24/2020  12am,40.18238,116.4142,26,22,,,48
Shanghai,Mainland China,1/24/2020  12am,31.20327,121.4554,20,,,,20
Hunan,Mainland China,1/24/2020  12am,27.61041,111.7088,24,,,,24
Anhui,Mainland China,1/24/2020  12am,31.82571,117.2264,15,4,,,19
Chongqing,Mainland China,1/24/2020  12am,30.05718,107.874,27,13,,,40
Sichuan,Mainland China,1/24/2020  12am,30.61714,102.7103,15,4,,,19
Shandong,Mainland China,1/24/2020  12am,36.34377,118.1529,9,,,,9
Guangxi,Mainland China,1/24/2020  12am,23.82908,108.7881,13,,,,13
Fujian,Mainland China,1/24/2020  12am,26.07783,117.9895,5,2,,,7
Jiangsu,Mainland China,1/24/2020  12am,32.97027,119.464,9,,,,9
Henan,Mainland China,1/24/2020  12am,33.88202,113.614,9,,,,9
Hainan,Mainland China,1/24/2020  12am,19.19673,109.7455,8,32,,,40
Tianjin,Mainland China,1/24/2020  12am,39.29362,117.333,5,,,,5
Jiangxi,Mainland China,1/24/2020  12am,27.61401,115.7221,7,,,,7
Shaanxi,Mainland China,1/24/2020  12am,35.19165,108.8701,3,,,,3
Guizhou,Mainland China,1/24/2020  12am,26.81536,106.8748,3,,,,3
Liaoning,Mainland China,1/24/2020  12am,41.29284,122.6086,4,,,,4
Hong Kong,Hong Kong,1/24/2020  12am,22.3193,114.1694,2,36,,,38
Heilongjiang,Mainland China,1/24/2020  12am,47.862,127.7622,4,,,1,4
Macau,Macau,1/24/2020  12am,22.1987,113.5439,2,,,,2
Xinjiang,Mainland China,1/24/2020  12am,41.11981,85.17822,2,,,,2
Gansu,Mainland China,1/24/2020  12am,36.0611,103.8343,2,,,,2
Yunnan,Mainland China,1/24/2020  12am,24.97411,101.4868,2,,,,2
Taiwan,Taiwan,1/24/2020  12am,23.6978,120.9605,1,,,,1
Shanxi,Mainland China,1/24/2020  12am,37.57769,112.2922,1,,,,1
Jilin,Mainland China,1/24/2020  12am,43.66657,126.1917,3,,,,3
Hebei,Mainland China,1/24/2020  12am,38.0428,114.5149,2,,,1,2
Ningxia,Mainland China,1/24/2020  12am,37.26923,106.1655,1,,,,1
Inner Mongolia,Mainland China,1/24/2020  12am,44.09448,113.9456,1,2,,,3
Washington,US,1/24/2020  12am,47.6062,-122.3321,1,,,,1
,Japan,1/24/2020  12am,35.6762,139.6503,2,,,,2
,Thailand,1/24/2020  12am,13.7563,100.5018,4,,,,4
,South Korea,1/24/2020  12am,37.5665,126.978,1,,,,1
,Singapore ,1/24/2020  12am,1.3521,103.8198,1,,,,1
,Vietnam,1/24/2020  12am,21.0278,105.8342,2,,,,2
